Model,Test MAE,Test RMSE,Test R²,CV MAE,CV RMSE,CV R²
Random Forest,15030.063636662342,21292.52669201117,0.41513618067395763,16680.867330586214,22292.535093783656,0.04034680520977514
KNN,15316.754092393076,22151.73570281208,0.3669822651705179,18417.18063444713,24452.70953738485,-0.07934612929620896
Linear Regression,18525.58908613781,23063.94441357574,0.3137734439106129,19141.1793661164,23876.123977492338,-0.12498449396096381
