Model,MAE,RMSE,R²
Random Forest,15030.063636662342,21292.52669201117,0.41513618067395763
KNN,15316.754092393076,22151.73570281208,0.3669822651705179
Linear Regression,18525.58908613781,23063.94441357574,0.3137734439106129
